imagen,titulo
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,VAYAPLIN 20 MG CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,PROSTUM 0.4 MG CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,CAVERTA 50 MG CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,ENABLEX 7.5 MG CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,CLAVUCID 1 G CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,ENABLEX 15 MG CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,URODIAL 200 MG CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,TAMSULON DUO 0.5 / 0.4 MG CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,UREX 200 MG CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,ARADOS 50 MG CAJA
https://www.fybeca.com/on/demandware.static/-/Sites/default/dwf8d9dc7c/images/fybeca/1.png,GYNOBLEN-D 75 MG / 100 MG CAJA
